Moffitt_Basal	Moffitt_Classical	Colisson_Exocrine	Colisson_QMPDA	Colisson_Classical	Puleo_Desmoplastic	Puleo_Immune_classical	Puleo_pure_basal	Puleo_Pure_classical	Puleo_Stroma_Activated	Bailey_ADEX	Bailey_Immunogenic	Bailey_Progenitor	Bailey_Squamous	ChanSengYue_BasalA	ChanSengYue_BasalB	ChanSengYue_ClassicalA	ChanSengYue_ClassicalB
VGLL1	BTNL8	REG1B	AIM2	TMEM45B	CCL19	ELMO1	CALU	SLC35A3	TEAD3	CUZD1	PAQR8	CLDN18	GSDMC	FAT2	FOXJ1	CYP2C18	MEP1A
UCA1	FAM3D	REG3A	FAM26F	SDR16C5	C3	KIR3DL1	PLAU	FOXP4	COMP	CTRC	MZB1	KIAA1211	CSDA	MIR205HG	DRC1	RP11-400G3.5	GUCY2C
S100A2	ATAD4	REG1A	GPM6B	GPRC5A	KCNE4	WNT8A	PPL	FMO5	S100A4	CEL	PIP5K1B	CRYL1	MIR205HG	S100A9	CCDC114	VSIG2	SPINK4
LY6D	AGR3	PNLIPRP2	S100A2	AGR2	NFATC2	PCDHB1	DCBLD1	RBM47	COL6A3	CELA3B	PKDCC	IQGAP2	DENND2C	S100A2	C7orf57	SLC9B2	MUC2
SPRR3	CTSE	CEL	KRT14	S100P	FSTL1	SPIB	MYOF	PIP5K1B	WNT5A	CPA1	KCNE3	CTSE	MAP7D1	S100A8	CFAP54	ANXA10	GALNT8
SPRR1B	LOC400573	PNLIP	CAV1	FXYD3	ZEB2	HEPACAM2	CHST11	CA2	NKD2	CPA2	IGKV1-12	AC021218.2	C16orf74	KRT5	VWA3A	CAPN8	ITLN1
LEMD1	LYZ	PLA2G1B	LOX	ST6GALNAC1	SASH1	PDCL2	COL7A1	TRPM4	MFGE8	CLPS	IGKC	SOWAHA	IVL	SLC2A9	RARRES3	VILL	CHST5
KRT15	TFF2	CELA3A	SLC2A3	CEACAM5	S1PR1	C8B	PFKP	SRC	TUBB3	PNLIPRP1	AC096579.7	CYSTM1	RFX8	RHCG	NA	CLDN18	CDH17
CTSL2	TFF1	CPB1	TWIST1	CEACAM6	PTGIS	PYHIN1	PLOD1	AGR2	SFTA2	SERPINI2	FAM134B	FMO5	TNC	TP63	NA	SULT1C2	FAM105A
DHRS9	ANXA10	CELA3B	PAPPA	TFF1	NID2	FREM1	PYGL	ABCC3	TMEM45A	RBPJL	IGHG1	REPS2	AC124789.1	ZNF750	NA	CYSTM1	SI
AREG	LGALS4	CTRB2	NT5E	TFF3	EBF1	LELP1	TGFBI	TST	ITFG1	REG1P	C9orf152	BTNL8	CAV1	KRT6A	NA	CTSE	REG4
CST6	PLA2G10	CLPS	CKS2	CAPN8	MAN1A1	ZNF233	GTF2IRD1	LAD1	FKBP10	AQP8	SHH	PTPRN2	AC007879.7	KRT14	NA	ADAM28	RP11-77K12.7
SERPINB3	CEACAM6	CELA2B	HMMR	FOXQ1	GZMK	ASPA	ENO2	PIK3C2B	THBS2	CTRB1	LYZ	SELENBP1	AC068491.1	PTHLH	NA	VSIG1	CLCA1
KRT6C	VSIG2	PRSS2	SLC5A3	ELF3	CD248	ART4	KRT19	TMEM45B	PXDN	ATP2A3	IGLV2-14	TFF1	EGFR	TMEM45A	NA	CYP3A5	HEPACAM2
KRT6A	TSPAN8	PRSS1	PMAIP1	ERBB3	RGS2	KCNA1	AHNAK2	PRR15	JUP	C2orf72	DERL3	CYP2C18	ARHGAP23	COL7A1	NA	CAPN5	GPA33
SERPINB4	ST6GALNAC1	GP2	PHLDA1	TSPAN8	MOXD1	KEL	PTPN14	PLLP	LBH	PRSS1	TM4SF5	ABP1	FJX1	TNNT3	NA	CYP2S1	CDX2
FAM83A	AGR2	SLC3A1	SLC16A1	TOX3	ADAMTS4	KIR2DS4	KRT7	HSD17B2	COL10A1	RP11-331F4.4	IGKV1D-39	SMPD3	S100A2	TMPRSS11E	NA	KCNE3	WNK4
SCEL	TFF3	CFTR	FERMT1	LGALS4	SGK1	FUT5	CALB2	METTL7B	HCFC1R1	CELA3A	ADD3	MARCH3	CDH26	ARL4D	NA	CYP2C9	BTNL3
FGFBP1	CYP3A7	SLC4A4	HK2	PLS1	C1S	TXNDC16	DCBLD2	LRP5	CERCAM	CTRB2	PIM2	PLA2G10	HMGA2	SCPEP1	NA	GCKR	KRT20
KRT7	MYO1A	SPINK1	AHNAK2	GPX2	WT1	ADAMTSL3	LGALS1	TSPAN15	SPOCK1	REG3G	IGHV1-18	LINC00675	KIAA1609	HCAR2	NA	TSPAN8	CLRN3
KRT17	CLRN3	NA	NA	ATP10B	CACNA2D1	ZNF433	NOP10	NOSTRIN	NPR3	PLA2G1B	IGKV3-11	IHH	EREG	GSDMC	NA	ACER2	C3orf70
GPR87	KRT20	NA	NA	MUC13	ITGA7	TTLL6	ITGA3	TOX3	TIMP2	ANXA4	TM9SF3	TSPAN3	RHCG	TMEM40	NA	SEMA4G	REP15
TNS4	CDH17	NA	NA	NA	SAMHD1	RGS7BP	SLC16A3	CLRN3	NUAK1	CTRL	IGLC3	REG4	LDLRAD3	CYP24A1	NA	PDZD3	FCGBP
SLC2A1	SPINK4	NA	NA	NA	IL33	CLUL1	LOXL2	HSD11B2	MICAL2	APLP1	SSTR1	ALDH2	TGFBI	IL20RB	NA	TMC5	FAM222A
ANXA8L2	REG4	NA	NA	NA	PDLIM3	ZSWIM2	SPOCD1	MYO1A	WNT10A	SYCN	GATA6	LRRC66	KRT5	GJB6	NA	DPCR1	AKR1C4
